name	id	max_length	max_width	island_group	body_of_water
Cahernaran Island	/m/0hz1ylr				Clew Bay
Shatvar Island	/m/0hy_t12				Persian Gulf
Sadatanek Island	/m/0hz06h1			Andreanof Islands,Aleutian Islands	
Fragos	/m/0hypk33			Dodecanese	
Coronation Island	/m/0hzggfn			Houtman Abrolhos	Indian Ocean
Nanuku Levu	/m/0hzcv7w				Pacific Ocean
Trump Island	/m/0hyq1cz			San Juan Islands	
Suomi Island	/m/0hzgglj			Houtman Abrolhos	Indian Ocean
Black Mountain Shore	/m/0hzzkbp			Glen Island	Lake George
Mushima Island	/m/0hzg537				Pacific Ocean
Schouwen-Duiveland	/m/0vh48				
Grande Entrée	/m/0hyq_72			Magdalen Islands	
Trout Island	/m/0hzy1x8				Trout Lake
Paheia Nisyrou	/m/0hypkfl			Dodecanese	
Pickerel Island	/m/0hzzfps				Lake Joseph
Suriqui	/m/0hzx1ch				Lake Titicaca
Kenesha Island	/m/0hzzfx1				Lake Joseph
Whale Island	/m/0hyn814			Hawaiian Islands	
Île Tortue	/m/0hzgk3z			Cargados Carajos	Indian Ocean
Round Island	/m/03qdn8p				
Edwards Islet	/m/03np08q				
Rum Island	/m/03qk6k9				
Crane Island Historic District	/m/04182bn				Lake Minnetonka
Jonassen Island	/m/03y9j_6				
Hoffman Island	/m/04vn6x				
Mitkof Island	/m/03qqys				
Rubicon Keys	/m/04cx74_			Florida Keys	
Marawah, United Arab Emirates	/m/04rd1f				
Edmund Walker Island	/m/051z9cp			Canadian Arctic Archipelago	
Kõverlaid	/m/04ghpmy				
Tasman Island	/m/04n295y				
Henderson Island	/m/03r62h				Pacific Ocean
Rat Island	/m/04mpcp				
Mazzorbo	/m/03ttql				
Gimsøya	/m/04jd89k			Lofoten	
Berkner Island	/m/047xd5				
Little Spectacle Island	/m/04mzvfg				
Iwo Jima	/m/017twv			Volcano Islands	Pacific Ocean
Near Island	/m/025vfc1				
Zhoushan	/m/01wkb5				
Aspen Island	/m/02669v8				Lake Burley Griffin
Kosrae	/m/021ps3			Caroline Islands	Pacific Ocean
Ishigaki	/m/01wrcx			Ryukyu Islands,Yaeyama Islands	Pacific Ocean
Portland Island	/m/0gfqzkn				Strait of Georgia
Roux Island	/m/0fq0fzq				
Stirling Island	/m/0g35b5			Solomon Islands	
Ushkan Islands	/m/0gp89b				
Rambler Island	/m/0fq0p5h				
Barsø	/m/0fmct5				
Kirton Island	/m/0fph0hv				
Mewstone, Tasmania	/m/0fpvmm				
Rostand Island	/m/0fp_q29				
Hum Island	/m/0fpjh23				
Kau Yi Chau	/m/0fvpr8				
Moon Island	/m/0g2lhc			Boston Harbor Islands	Boston Harbor
Flat Witch Island	/m/04n2qql				
Deer Island	/m/04cvg72				
Hope Island	/m/04gvp31				
Penguin Islet	/m/03np0xf				
